"Plot Title: Coyote-3_06-24-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641668, SEN S/N: 10641668)","Intensity, Lux (LGR S/N: 10641668, SEN S/N: 10641668)","Coupler Attached (LGR S/N: 10641668, SEN S/N: 10641668)","Host Connected (LGR S/N: 10641668, SEN S/N: 10641668)","Stopped (LGR S/N: 10641668, SEN S/N: 10641668)","End Of File (LGR S/N: 10641668, SEN S/N: 10641668)"
1,06/24/16 08:00:00 AM,36.295,4305.6,,,,
2,06/24/16 08:05:00 AM,37.604,4305.6,,,,
3,06/24/16 08:10:00 AM,37.604,635.1,,,,
4,06/24/16 08:15:00 AM,37.494,3961.1,,,,
5,06/24/16 08:20:00 AM,37.494,1345.5,,,,
6,06/24/16 08:25:00 AM,36.187,1345.5,,,,
7,06/24/16 08:30:00 AM,35.542,0.0,,,,
8,06/24/16 08:35:00 AM,34.903,0.0,,,,
9,06/24/16 08:40:00 AM,34.268,172.2,,,,
10,06/24/16 08:45:00 AM,33.430,183.0,,,,
11,06/24/16 08:50:00 AM,32.911,1022.6,,,,
12,06/24/16 08:55:00 AM,32.911,828.8,,,,
13,06/24/16 09:00:00 AM,33.118,484.4,,,,
14,06/24/16 09:05:00 AM,33.222,301.4,,,,
15,06/24/16 09:10:00 AM,33.326,258.3,,,,
16,06/24/16 09:15:00 AM,35.328,209423.6,,,,
17,06/24/16 09:20:00 AM,41.458,209423.6,,,,
18,06/24/16 09:25:00 AM,44.580,209423.6,,,,
19,06/24/16 09:30:00 AM,45.956,198401.3,,,,
20,06/24/16 09:35:00 AM,47.368,187379.0,,,,
21,06/24/16 09:40:00 AM,46.850,148801.0,,,,
22,06/24/16 09:45:00 AM,43.723,15844.5,,,,
23,06/24/16 09:50:00 AM,27.665,24800.2,,,,
24,06/24/16 09:55:00 AM,23.581,24800.2,,,,
25,06/24/16 10:00:00 AM,23.292,24800.2,,,,
26,06/24/16 10:05:00 AM,23.388,26178.0,,,,
27,06/24/16 10:10:00 AM,23.484,27555.7,,,,
28,06/24/16 10:15:00 AM,23.484,26178.0,,,,
29,06/24/16 10:20:00 AM,23.581,26178.0,,,,
30,06/24/16 10:25:00 AM,23.677,26178.0,,,,
31,06/24/16 10:30:00 AM,23.773,27555.7,,,,
