"Plot Title: Chute-3_05-17-2016"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641660, SEN S/N: 10641660)","Intensity, Lux (LGR S/N: 10641660, SEN S/N: 10641660)","Coupler Attached (LGR S/N: 10641660, SEN S/N: 10641660)","Host Connected (LGR S/N: 10641660, SEN S/N: 10641660)","Coupler Detached (LGR S/N: 10641660, SEN S/N: 10641660)","End Of File (LGR S/N: 10641660, SEN S/N: 10641660)"
1,06/24/16 08:00:00 AM,26.000,10.8,,,,
2,06/24/16 08:05:00 AM,26.292,10.8,,,,
3,06/24/16 08:10:00 AM,26.390,0.0,,,,
4,06/24/16 08:15:00 AM,26.585,0.0,,,,
5,06/24/16 08:20:00 AM,26.683,0.0,,,,
6,06/24/16 08:25:00 AM,26.781,0.0,,,,
7,06/24/16 08:30:00 AM,26.879,0.0,,,,
8,06/24/16 08:35:00 AM,26.977,0.0,,,,
9,06/24/16 08:40:00 AM,30.760,46844.8,,,,
10,06/24/16 08:45:00 AM,34.796,52355.9,,,,
11,06/24/16 08:50:00 AM,36.187,1054.9,,,,
12,06/24/16 08:55:00 AM,35.649,710.4,,,,
13,06/24/16 09:00:00 AM,35.222,2669.5,,,,
14,06/24/16 09:05:00 AM,34.691,2755.6,,,,
15,06/24/16 09:10:00 AM,34.691,2755.6,,,,
16,06/24/16 09:15:00 AM,34.796,2755.6,,,,
17,06/24/16 09:20:00 AM,35.222,333.7,,,,
18,06/24/16 09:25:00 AM,35.864,1636.1,,,,
19,06/24/16 09:30:00 AM,36.295,2152.8,,,,
20,06/24/16 09:35:00 AM,37.165,0.0,,,,
21,06/24/16 09:40:00 AM,37.604,0.0,,,,
22,06/24/16 09:45:00 AM,37.824,0.0,,,,
23,06/24/16 09:50:00 AM,38.157,0.0,,,,
24,06/24/16 09:55:00 AM,38.379,0.0,,,,
25,06/24/16 10:00:00 AM,38.379,0.0,,,,
26,06/24/16 10:05:00 AM,40.415,0.0,,,,
27,06/24/16 10:10:00 AM,40.876,0.0,,,,
28,06/24/16 10:15:00 AM,40.300,0.0,,,,
29,06/24/16 10:20:00 AM,40.530,0.0,,,,
30,06/24/16 10:25:00 AM,39.276,0.0,,,,
31,06/24/16 10:30:00 AM,38.046,0.0,,,,
32,06/24/16 10:35:00 AM,37.824,0.0,,,,
33,06/24/16 10:40:00 AM,38.046,0.0,,,,
34,06/24/16 10:45:00 AM,39.050,0.0,,,,
35,06/24/16 10:50:00 AM,39.050,0.0,,,,
36,06/24/16 10:55:00 AM,37.604,0.0,,,,
37,06/24/16 11:00:00 AM,36.187,0.0,,,,
38,06/24/16 11:05:00 AM,35.649,0.0,,,,
39,06/24/16 11:10:00 AM,36.837,0.0,,,,
40,06/24/16 11:15:00 AM,38.379,0.0,,,,
41,06/24/16 11:20:00 AM,38.938,0.0,,,,
42,06/24/16 11:25:00 AM,38.826,0.0,,,,
43,06/24/16 11:30:00 AM,38.714,0.0,,,,
44,06/24/16 11:35:00 AM,38.490,0.0,,,,
45,06/24/16 11:40:00 AM,38.490,0.0,,,,
46,06/24/16 11:45:00 AM,38.490,0.0,,,,
47,06/24/16 11:50:00 AM,38.938,0.0,,,,
48,06/24/16 11:55:00 AM,39.843,0.0,,,,
49,06/24/16 12:00:00 PM,39.729,0.0,,,,
50,06/24/16 12:05:00 PM,39.729,0.0,,,,
51,06/24/16 12:10:00 PM,38.714,0.0,,,,
52,06/24/16 12:15:00 PM,38.046,0.0,,,,
53,06/24/16 12:20:00 PM,37.274,0.0,,,,
54,06/24/16 12:25:00 PM,36.079,0.0,,,,
55,06/24/16 12:30:00 PM,35.115,0.0,,,,
56,06/24/16 12:35:00 PM,34.268,0.0,,,,
57,06/24/16 12:40:00 PM,33.535,0.0,,,,
58,06/24/16 12:45:00 PM,33.118,0.0,,,,
59,06/24/16 12:50:00 PM,32.600,0.0,,,,
60,06/24/16 12:55:00 PM,32.807,0.0,,,,
61,06/24/16 01:00:00 PM,33.535,0.0,,,,
62,06/24/16 01:05:00 PM,33.848,0.0,,,,
63,06/24/16 01:10:00 PM,34.058,0.0,,,,
64,06/24/16 01:15:00 PM,35.222,3444.5,,,,
65,06/24/16 01:20:00 PM,36.946,4305.6,,,,
66,06/24/16 01:25:00 PM,37.494,4305.6,,,,
67,06/24/16 01:30:00 PM,37.714,3616.7,,,,
68,06/24/16 01:35:00 PM,36.403,170845.6,,,,
69,06/24/16 01:40:00 PM,35.864,198401.3,,,,
